Statistical profiling result from sin_console-v8.log, (6386 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  Function: ^_write node:internal/streams/writable:283:16
      1    0.0%    0.1%  Function: ^__awaiter /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:18:54
      1    0.0%    0.1%  Function: ^StatsBase node:internal/fs/utils:401:19
      1    0.0%    0.1%  Function: ^SourceNode_toString /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:318:61
      1    0.0%    0.1%  Function: ^SourceNode /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:35:20
      1    0.0%    0.1%  Function: ^SourceLocation /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:32:24
      1    0.0%    0.1%  Function: ^Socket._writeGeneric node:net:791:42
      1    0.0%    0.1%  Function: ^Module.require node:internal/modules/cjs/loader:997:36
      1    0.0%    0.1%  Function: ^Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      1    0.0%    0.1%  Function: ^Long.comp /home/rdonaire/Desktop/backend/node_modules/bson/lib/long.js:312:36
      1    0.0%    0.1%  Function: ^LazyTransform node:internal/streams/lazy_transform:20:23
      1    0.0%    0.1%  Function: ^Glob._readdirInGlobStar /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:492:46
      1    0.0%    0.1%  Function: ^ExpressHandlebars._resolveLayoutPath /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:423:63
      1    0.0%    0.1%  Function: ^ContentStatement /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:228:46
      1    0.0%    0.1%  Function: ^<anonymous> node:vm:313:27
      1    0.0%    0.1%  Function: ^<anonymous> node:internal/validators:73:3
      1    0.0%    0.1%  Function: ^<anonymous> node:internal/util:347:32
      1    0.0%    0.1%  Function: ^<anonymous> node:internal/fs/utils:669:38
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:625:43
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:551:19
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-session/index.js:598:43
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:30:40
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:198:57
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:181:44
