Statistical profiling result from result_sin_console-v8.log, (7248 ticks, 5 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  LazyCompile: *Program /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:113:28
      1    0.0%    0.1%  LazyCompile: *PathExpression /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:289:42
      1    0.0%    0.1%  LazyCompile: *Module._resolveLookupPaths node:internal/modules/cjs/loader:667:38
      1    0.0%    0.1%  LazyCompile: *Glob._readdir /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:525:36
      1    0.0%    0.1%  LazyCompile: *Glob._processReaddir2 /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:375:44
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:85:24
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:98:47
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:181:44
      1    0.0%    0.1%  Function: ^writetop /home/rdonaire/Desktop/backend/node_modules/express-session/index.js:270:24
      1    0.0%    0.1%  Function: ^write_ node:_http_outgoing:730:16
      1    0.0%    0.1%  Function: ^wrapHelper /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/internal/wrapHelper.js:6:20
      1    0.0%    0.1%  Function: ^urlencodedParser /home/rdonaire/Desktop/backend/node_modules/body-parser/lib/types/urlencoded.js:79:36
      1    0.0%    0.1%  Function: ^toString node:buffer:783:46
      1    0.0%    0.1%  Function: ^toNamespacedPath node:path:1266:19
      1    0.0%    0.1%  Function: ^template /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      1    0.0%    0.1%  Function: ^stringToFlags node:internal/fs/utils:556:23
      1    0.0%    0.1%  Function: ^splitRoot node:fs:2379:33
      1    0.0%    0.1%  Function: ^socketListenerWrap node:_http_server:1006:37
      1    0.0%    0.1%  Function: ^slice /home/rdonaire/Desktop/backend/node_modules/inflight/inflight.js:48:16
      1    0.0%    0.1%  Function: ^setStreamTimeout node:internal/stream_base_commons:237:26
      1    0.0%    0.1%  Function: ^setHeader node:_http_outgoing:574:57
      1    0.0%    0.1%  Function: ^setCharset /home/rdonaire/Desktop/backend/node_modules/express/lib/utils.js:248:41
      1    0.0%    0.1%  Function: ^set maxAge /home/rdonaire/Desktop/backend/node_modules/express-session/session/cookie.js:83:13
      1    0.0%    0.1%  Function: ^serializeLong /home/rdonaire/Desktop/backend/node_modules/bson/lib/parser/serializer.js:300:23
      1    0.0%    0.1%  Function: ^serializeInto /home/rdonaire/Desktop/backend/node_modules/bson/lib/parser/serializer.js:550:23
      1    0.0%    0.1%  Function: ^send /home/rdonaire/Desktop/backend/node_modules/express/lib/response.js:111:25
      1    0.0%    0.1%  Function: ^ret._setup /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/runtime.js:217:25
      1    0.0%    0.1%  Function: ^resOnFinish node:_http_server:793:21
      1    0.0%    0.1%  Function: ^removeListener node:events:689:28
      1    0.0%    0.1%  Function: ^relative node:path:1190:11
      1    0.0%    0.1%  Function: ^realpathSync node:fs:2425:22
      1    0.0%    0.1%  Function: ^readdir node:fs:1368:17
      1    0.0%    0.1%  Function: ^readPackage node:internal/modules/cjs/loader:290:21
      1    0.0%    0.1%  Function: ^readFileAfterClose node:internal/fs/read_file_context:46:28
      1    0.0%    0.1%  Function: ^processIncomingData /home/rdonaire/Desktop/backend/node_modules/mongoose/node_modules/mongodb/lib/cmap/message_stream.js:79:29
      1    0.0%    0.1%  Function: ^processImmediate node:internal/timers:421:28
      1    0.0%    0.1%  Function: ^popStack /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:960:30
      1    0.0%    0.1%  Function: ^parse /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:51:15
      1    0.0%    0.1%  Function: ^onstat /home/rdonaire/Desktop/backend/node_modules/send/index.js:717:33
      1    0.0%    0.1%  Function: ^next /home/rdonaire/Desktop/backend/node_modules/express/lib/router/route.js:116:16
      1    0.0%    0.1%  Function: ^mergeSource /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:267:36
      1    0.0%    0.1%  Function: ^maybeCallback node:fs:176:23
      1    0.0%    0.1%  Function: ^makeres /home/rdonaire/Desktop/backend/node_modules/inflight/inflight.js:17:18
      1    0.0%    0.1%  Function: ^makeAbs /home/rdonaire/Desktop/backend/node_modules/glob/common.js:203:18
      1    0.0%    0.1%  Function: ^lookupOnContext /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:448:44
      1    0.0%    0.1%  Function: ^listOnTimeout node:internal/timers:507:25
      1    0.0%    0.1%  Function: ^isstats /home/rdonaire/Desktop/backend/node_modules/etag/index.js:104:18
      1    0.0%    0.1%  Function: ^isURLInstance node:internal/url:1495:23
      1    0.0%    0.1%  Function: ^isModified /home/rdonaire/Desktop/backend/node_modules/express-session/index.js:425:24
      1    0.0%    0.1%  Function: ^isInline /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:956:30
      1    0.0%    0.1%  Function: ^isAbsolute node:path:1156:13
      1    0.0%    0.1%  Function: ^inflate /home/rdonaire/Desktop/backend/node_modules/express-session/index.js:371:22
      1    0.0%    0.1%  Function: ^howMuchToRead node:internal/streams/readable:377:23
