Statistical profiling result from result_con_console-v8.log, (8335 ticks, 16 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  Function: ^template /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      1    0.0%    0.1%  Function: ^socketOnDrain node:_http_server:564:23
      1    0.0%    0.1%  Function: ^socketListenerWrap node:_http_server:1006:37
      1    0.0%    0.1%  Function: ^slowCases node:internal/util:165:19
      1    0.0%    0.1%  Function: ^shouldDestroy /home/rdonaire/Desktop/backend/node_modules/express-session/index.js:435:27
      1    0.0%    0.1%  Function: ^set /home/rdonaire/Desktop/backend/node_modules/express/lib/application.js:359:23
      1    0.0%    0.1%  Function: ^send /home/rdonaire/Desktop/backend/node_modules/express/lib/response.js:111:25
      1    0.0%    0.1%  Function: ^render /home/rdonaire/Desktop/backend/node_modules/express/lib/view.js:133:40
      1    0.0%    0.1%  Function: ^render /home/rdonaire/Desktop/backend/node_modules/express/lib/response.js:1016:29
      1    0.0%    0.1%  Function: ^removeListener node:events:689:28
      1    0.0%    0.1%  Function: ^readSync node:fs:684:18
      1    0.0%    0.1%  Function: ^readFileAfterOpen node:fs:310:27
      1    0.0%    0.1%  Function: ^pushContext /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:437:36
      1    0.0%    0.1%  Function: ^processImmediate node:internal/timers:421:28
      1    0.0%    0.1%  Function: ^process.cwd /home/rdonaire/Desktop/backend/node_modules/graceful-fs/polyfills.js:8:23
      1    0.0%    0.1%  Function: ^prepareSecretKey node:internal/crypto/keys:565:26
      1    0.0%    0.1%  Function: ^prepareProgram /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:185:24
      1    0.0%    0.1%  Function: ^popStack /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:960:30
      1    0.0%    0.1%  Function: ^popAsyncContext node:internal/async_hooks:554:25
      1    0.0%    0.1%  Function: ^pipe /home/rdonaire/Desktop/backend/node_modules/send/index.js:506:43
      1    0.0%    0.1%  Function: ^parseFileMode node:internal/validators:59:23
      1    0.0%    0.1%  Function: ^parse node:querystring:318:15
      1    0.0%    0.1%  Function: ^parse /home/rdonaire/Desktop/backend/node_modules/minimatch/minimatch.js:413:9
      1    0.0%    0.1%  Function: ^onwrite node:internal/streams/writable:425:17
      1    0.0%    0.1%  Function: ^onResponseHeaders /home/rdonaire/Desktop/backend/node_modules/compression/index.js:140:47
      1    0.0%    0.1%  Function: ^lookup /home/rdonaire/Desktop/backend/node_modules/express/lib/view.js:104:40
      1    0.0%    0.1%  Function: ^jsonParser /home/rdonaire/Desktop/backend/node_modules/body-parser/lib/types/json.js:98:30
      1    0.0%    0.1%  Function: ^isSaved /home/rdonaire/Desktop/backend/node_modules/express-session/index.js:430:21
      1    0.0%    0.1%  Function: ^isDate /home/rdonaire/Desktop/backend/node_modules/bson/lib/parser/utils.js:82:16
      1    0.0%    0.1%  Function: ^inflate /home/rdonaire/Desktop/backend/node_modules/express-session/index.js:371:22
      1    0.0%    0.1%  Function: ^id /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:44:12
      1    0.0%    0.1%  Function: ^hb.template /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars.runtime.js:50:26
      1    0.0%    0.1%  Function: ^hb.compile /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars.js:38:25
      1    0.0%    0.1%  Function: ^getLevelForCategory /home/rdonaire/Desktop/backend/node_modules/log4js/lib/categories.js:198:29
      1    0.0%    0.1%  Function: ^getDefaultTriggerAsyncId node:internal/async_hooks:433:34
      1    0.0%    0.1%  Function: ^getColorDepth node:internal/tty:106:23
      1    0.0%    0.1%  Function: ^get node:internal/streams/duplex:94:8
      1    0.0%    0.1%  Function: ^get expires /home/rdonaire/Desktop/backend/node_modules/express-session/session/cookie.js:72:14
      1    0.0%    0.1%  Function: ^fromStringFast node:buffer:413:24
      1    0.0%    0.1%  Function: ^formatWithOptionsInternal node:internal/util/inspect:2048:35
      1    0.0%    0.1%  Function: ^formatWithOptions node:internal/util/inspect:2024:27
      1    0.0%    0.1%  Function: ^formatPrimitive node:internal/util/inspect:1519:25
      1    0.0%    0.1%  Function: ^escapeExpression /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/utils.js:77:26
      1    0.0%    0.1%  Function: ^emitReadable_ node:internal/streams/readable:574:23
      1    0.0%    0.1%  Function: ^dispatch /home/rdonaire/Desktop/backend/node_modules/express/lib/router/route.js:98:45
      1    0.0%    0.1%  Function: ^debug /home/rdonaire/Desktop/backend/node_modules/express-session/node_modules/debug/src/debug.js:65:17
      1    0.0%    0.1%  Function: ^cpus node:os:133:14
      1    0.0%    0.1%  Function: ^compression /home/rdonaire/Desktop/backend/node_modules/compression/index.js:59:31
      1    0.0%    0.1%  Function: ^compileFunction node:vm:308:25
      1    0.0%    0.1%  Function: ^compileChildren /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:805:44
      1    0.0%    0.1%  Function: ^compile /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:490:17
      1    0.0%    0.1%  Function: ^closeSync /home/rdonaire/Desktop/backend/node_modules/graceful-fs/graceful-fs.js:72:24
      1    0.0%    0.1%  Function: ^close node:internal/fs/read_file_context:111:8
      1    0.0%    0.1%  Function: ^classifySexpr /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:363:40
      1    0.0%    0.1%  Function: ^afterWriteDispatched node:internal/stream_base_commons:155:30
      1    0.0%    0.1%  Function: ^addListeners /home/rdonaire/Desktop/backend/node_modules/compression/index.js:229:23
      1    0.0%    0.1%  Function: ^accept /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/visitor.js:57:26
      1    0.0%    0.1%  Function: ^accept /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:101:26
      1    0.0%    0.1%  Function: ^a /home/rdonaire/Desktop/backend/node_modules/@faker-js/faker/dist/cjs/locales/mk/name/index.js:1:246
      1    0.0%    0.1%  Function: ^_flushOutput node:_http_outgoing:951:63
      1    0.0%    0.1%  Function: ^_finish node:_http_server:204:52
      1    0.0%    0.1%  Function: ^Store.createSession /home/rdonaire/Desktop/backend/node_modules/express-session/session/store.js:86:41
      1    0.0%    0.1%  Function: ^SourceNode_prepend /home/rdonaire/Desktop/backend/node_modules/source-map/lib/source-node.js:197:59
      1    0.0%    0.1%  Function: ^Readable.removeListener node:internal/streams/readable:904:45
      1    0.0%    0.1%  Function: ^PathExpression /home/rdonaire/Desktop/backend/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:289:42
      1    0.0%    0.1%  Function: ^Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      1    0.0%    0.1%  Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    0.0%    0.1%  Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
      1    0.0%    0.1%  Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
      1    0.0%    0.1%  Function: ^Glob._process /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:295:36
      1    0.0%    0.1%  Function: ^Glob /home/rdonaire/Desktop/backend/node_modules/glob/glob.js:117:15
      1    0.0%    0.1%  Function: ^ExpressHandlebars.renderView /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:246:55
      1    0.0%    0.1%  Function: ^ExpressHandlebars.getTemplates /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:196:57
      1    0.0%    0.1%  Function: ^ExpressHandlebars.getTemplate /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:162:56
      1    0.0%    0.1%  Function: ^EventEmitter node:events:208:22
      1    0.0%    0.1%  Function: ^<anonymous> node:internal/validators:236:42
      1    0.0%    0.1%  Function: ^<anonymous> node:internal/validators:101:40
      1    0.0%    0.1%  Function: ^<anonymous> node:internal/util:346:24
      1    0.0%    0.1%  Function: ^<anonymous> :1:20
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/socket.io/dist/index.js:262:27
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-session/index.js:485:38
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:251:47
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:201:47
      1    0.0%    0.1%  Function: ^<anonymous> /home/rdonaire/Desktop/backend/node_modules/express-handlebars/dist/express-handlebars.js:198:57

 [C++]:
   ticks  total  nonlib   name
    366    4.4%   19.0%  pthread_cond_signal@@GLIBC_2.3.2
    291    3.5%   15.1%  __write@@GLIBC_2.2.5
    164    2.0%    8.5%  fwrite@@GLIBC_2.2.5
    118    1.4%    6.1%  epoll_pwait@@GLIBC_2.6
     68    0.8%    3.5%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
     58    0.7%    3.0%  __read@@GLIBC_2.2.5
     39    0.5%    2.0%  syscall@@GLIBC_2.2.5
     38    0.5%    2.0%  _IO_file_xsputn@@GLIBC_2.2.5
     23    0.3%    1.2%  __open@@GLIBC_2.2.5
     22    0.3%    1.1%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
     22    0.3%    1.1%  __mprotect@@GLIBC_PRIVATE
     22    0.3%    1.1%  __libc_malloc@@GLIBC_2.2.5
     18    0.2%    0.9%  cfree@GLIBC_2.2.5
     10    0.1%    0.5%  __pthread_mutex_unlock@GLIBC_2.2.5
